Scheme Name	Net Asset Value
ICICI Prudential Corporate Bond Fund - Direct Plan - Growth	31.2240
ICICI Prudential Corporate Bond Fund - Direct Plan - Half Yearly IDCW Option	12.8827
ICICI Prudential Corporate Bond Fund - Direct Plan - Monthly IDCW	10.3102
ICICI Prudential Corporate Bond Fund - Direct Plan - Quarterly IDCW	15.5523
ICICI Prudential Corporate Bond Fund - Direct Plan - Weekly IDCW	10.2332
ICICI Prudential Corporate Bond Fund - Fortnightly IDCW	10.2243
ICICI Prudential Corporate Bond Fund - Growth	29.8161
ICICI Prudential Corporate Bond Fund - Half Yearly IDCW Option	12.6555
ICICI Prudential Corporate Bond Fund - Monthly IDCW	10.4648
ICICI Prudential Corporate Bond Fund - Premium Daily Dividend	10.0277
ICICI Prudential Corporate Bond Fund - Premium Monthly Dividend	10.0770
ICICI Prudential Corporate Bond Fund - Weekly IDCW	10.3040
ICICI Prudential Corporate Bond Fund -Quarterly IDCW	11.2467
ICICI Prudential Corporate Bond Fund Retail Daily Dividend	10.0275
ICICI Prudential Corporate Bond Fund Retail Fort Nightly Dividend	10.3041
ICICI Prudential Corporate Bond Fund Retail Growth	22.7853
ICICI Prudential Corporate Bond Fund Retail Monthly Dividend	10.3008
ICICI Prudential Corporate Bond Fund Retail Quarterly Dividend	10.9335
ICICI Prudential Corporate Bond Fund Retail Weekly Dividend	10.2202
Invesco India Corporate Bond Fund - Annual IDCW (Payout / Reinvestment)	1969.3928
Invesco India Corporate Bond Fund - Direct Plan - Annual IDCW (Payout / Reinvestment)	1258.1773
Invesco India Corporate Bond Fund - Direct Plan - Discretionary IDCW (Payout / Reinvestment)	3416.849
Invesco India Corporate Bond Fund - Direct Plan - Growth	3415.7734
Invesco India Corporate Bond Fund - Direct Plan - Monthly IDCW (Payout / Reinvestment)	1267.9765
Invesco India Corporate Bond Fund - Direct Plan - Quarterly IDCW (Payout / Reinvestment)	1384.2526
Invesco India Corporate Bond Fund - Discretionary IDCW (Payout / Reinvestment)	3349.3421
Invesco India Corporate Bond Fund - Growth	3188.805
Invesco India Corporate Bond Fund - Monthly IDCW (Payout / Reinvestment)	1827.7169
Invesco India Corporate Bond Fund - Quarterly IDCW (Payout / Reinvestment)	1189.7517
Kotak Coporate Bond Fund- Retail Plan-Growth Option	2034.9063
Kotak Corporate Bond Fund- Direct Plan- Growth Option	3946.982
Kotak Corporate Bond Fund- Direct Plan- Monthly Payout of Income Distribution cum capital withdrawal option	1079.9264
Kotak Corporate Bond Fund- Institutional Plan-Growth Option	2090.4924
Kotak Corporate Bond Fund- Regular Plan-Growth Option	3781.5232
Kotak Corporate Bond Fund- Regular Plan-Monthly Dividend Option	1231.874
Kotak Corporate Bond Fund- Regular Plan-Quarterly Dividend Option	1066.6837
Kotak Corporate Bond Fund- Retail Plan- Monthly Dividend Option	1040.0538
Kotak Corporate Bond Fund- Retail Plan- Weekly Dividend Option	1052.3061
Kotak Corporate Bond Fund- Retail Plan-Daily Dividend Option	1052.6393
Kotak Corporate Bond Fund- Standard Plan-Daily Dividend Option	1052.7994
Kotak Corporate Bond Fund- Standard Plan-Weekly Dividend Option	1202.9939
Mirae Asset Corporate Bond Fund Direct Growth Plan	13.0478
Mirae Asset Corporate Bond Fund Direct IDCW	13.0449
Mirae Asset Corporate Bond Fund Regular Growth	12.8083
Mirae Asset Corporate Bond Fund Regular IDCW	12.8082
NIPPON INDIA CORPORATE BOND FUND - DAILY IDCW Option	17.0959
NIPPON INDIA CORPORATE BOND FUND - DIRECT Plan - DAILY IDCW Option	17.0959
NIPPON INDIA CORPORATE BOND FUND - DIRECT Plan - IDCW Option	20.0066
NIPPON INDIA CORPORATE BOND FUND - DIRECT Plan - MONTHLY IDCW Option	11.7599
NIPPON INDIA CORPORATE BOND FUND - DIRECT Plan - QUARTERLY IDCW Option	12.5179
NIPPON INDIA CORPORATE BOND FUND - DIRECT Plan - WEEKLY IDCW Option	17.1290
Nippon India Corporate Bond Fund - Direct Plan Growth Plan - Bonus	45.0772
Nippon India Corporate Bond Fund - Direct Plan Growth Plan - Growth Option	63.1375
Nippon India Corporate Bond Fund - Growth Plan - Bonus Option	42.9886
